Issue Description,Assignees to the Issue,Link
POST-ing to /_all/_open and /_all/_close break wildcard expansion,,https://github.com/elastic/elasticsearch/issues/24031
Wrong behaviour deleting alias.,,https://github.com/elastic/elasticsearch/issues/23960
Deprecate `:` in cluster and index names,,https://github.com/elastic/elasticsearch/issues/23892
Better handling of inline scripts in ingest,,https://github.com/elastic/elasticsearch/issues/23824
Ingest simulate should coerce `_id` to a string,,https://github.com/elastic/elasticsearch/issues/23823
Link to javadocs,,https://github.com/elastic/elasticsearch/issues/23761
Create index : unable to use custom analyzer in default mapping at index creation time,,https://github.com/elastic/elasticsearch/issues/23755
Explain mapping explosion,,https://github.com/elastic/elasticsearch/issues/23687
Add target field to lowercase processor (and others),,https://github.com/elastic/elasticsearch/issues/23682
Describe how to apply best_compression,,https://github.com/elastic/elasticsearch/issues/23646
No inner hits returned when nested query inside dismax query (v5),,https://github.com/elastic/elasticsearch/issues/23482
Increase chunk_size max to 256 Mb instead of 64 Mb,,https://github.com/elastic/elasticsearch/issues/23446
Don't profile ConstantScore queries,,https://github.com/elastic/elasticsearch/issues/23430
Expose the new SimplePatternTokenizer and SimplePatternSplitTokenizer,,https://github.com/elastic/elasticsearch/issues/23363
Document date aggregation limitation on arbitrary time intervals,,https://github.com/elastic/elasticsearch/issues/23294
Limit the timeout of scroll requests,,https://github.com/elastic/elasticsearch/issues/23268
Upgrade HDRHistogram,,https://github.com/elastic/elasticsearch/issues/23239
Minor fix of _cat documentation,,https://github.com/elastic/elasticsearch/issues/23211
Disallow the `classic` (TF-IDF) similarity on 6.0 indices.,,https://github.com/elastic/elasticsearch/issues/23208
Docs out of sync regarding default values for geo_shape mapping,,https://github.com/elastic/elasticsearch/issues/23206
"What is the ""took"" value for multi-search query",,https://github.com/elastic/elasticsearch/issues/23131
http 200 response code for partial result,,https://github.com/elastic/elasticsearch/issues/23059
Create index request should return the index name,,https://github.com/elastic/elasticsearch/issues/23044
Update AWS Java SDK to support ECS Task Roles,,https://github.com/elastic/elasticsearch/issues/23039
Include and exclude patterns in visualizations throw an error,,https://github.com/elastic/elasticsearch/issues/22933
elasticsearch-plugin remove without plugin name fails ungracefully,,https://github.com/elastic/elasticsearch/issues/22922
Remove `ScriptDocValues#getValues`,,https://github.com/elastic/elasticsearch/issues/22919
Range aggregation with no ranges throw a NullPointerException,,https://github.com/elastic/elasticsearch/issues/22881
IcuFoldingTokenFilter still accepts camelCase parameter,,https://github.com/elastic/elasticsearch/issues/22823
Add default logging for allocate_*_primary reroute commands,,https://github.com/elastic/elasticsearch/issues/22821
inconsistency between source filtering names in query parameter vs request body,,https://github.com/elastic/elasticsearch/issues/22792
"Improve ""Fielddata is disabled on text fields by default"" message",,https://github.com/elastic/elasticsearch/issues/22768
Clear-cache should accept `request` parameter,,https://github.com/elastic/elasticsearch/issues/22748
`index.store.preload` not present in default index settings or cluster settings,,https://github.com/elastic/elasticsearch/issues/22686
MappedFieldType.rangeQuery should rewrite to an `exists` query when both bounds are open,,https://github.com/elastic/elasticsearch/issues/22640
Expose BooleanSimilarity,,https://github.com/elastic/elasticsearch/issues/22630
Range queries do not support time_zone with epoch fields,,https://github.com/elastic/elasticsearch/issues/22621
Index Delete message to be logged as INFO instead of Debug,,https://github.com/elastic/elasticsearch/issues/22605
Unhandled query size parameter,,https://github.com/elastic/elasticsearch/issues/22530
CircuitBreakingException message should contain the amount of used memory,,https://github.com/elastic/elasticsearch/issues/22521
Reindex-from-remote should use preemptive authorization if username and password are configured,,https://github.com/elastic/elasticsearch/issues/22328
Missing Keyed Response for Percentiles Bucket,,https://github.com/elastic/elasticsearch/issues/22302
Add multipolygon support to GeoPolygonQueryBuilder,,https://github.com/elastic/elasticsearch/pull/22237
Deprecate and remove `minimum_number_should_match`,,https://github.com/elastic/elasticsearch/issues/22198
"GeoPoint returns incorrect geohash for lat 90, lon 180",,https://github.com/elastic/elasticsearch/issues/22163
add ability delete pipelines with wildcards,,https://github.com/elastic/elasticsearch/issues/22149
Add types options to DeleteByQueryRequest - java api,,https://github.com/elastic/elasticsearch/issues/21984
Rename `delimiter_payload_filter` to `delimiter_payload`.,,https://github.com/elastic/elasticsearch/issues/21978
"`require_field_match` should accept ""true""|""false""",,https://github.com/elastic/elasticsearch/issues/21802
FileBasedDiscovery causes connections on every ping round,,https://github.com/elastic/elasticsearch/issues/21739
Expand /_cat/nodes to return information about hard drive (ES v5),,https://github.com/elastic/elasticsearch/issues/21679
"NullPointerException caused by multiple indices search w/ nested, inner_hits",,https://github.com/elastic/elasticsearch/issues/21620
inconsistent behaviour regarding numeric range queries and aggregations,,https://github.com/elastic/elasticsearch/issues/21600
