Issue Description,Assignees to the Issue,Link
Add Draft PR support for `mark-unread`,,https://github.com/sindresorhus/refined-github/issues/1954
Hide milestone drag icon when no permission,,https://github.com/sindresorhus/refined-github/issues/1918
"""close and comment""  button float left, Easy to make a mistake",,https://github.com/sindresorhus/refined-github/issues/1915
Button (visual) issues in notifications,,https://github.com/sindresorhus/refined-github/issues/1865
Options modal dialog blinking/glitching in Chrome,,https://github.com/sindresorhus/refined-github/issues/1847
"Why you hide count field for ""Watch"" and ""Fork"" buttons?",,https://github.com/sindresorhus/refined-github/issues/1843
Remove the `exclude-filter-shortcut` feature,,https://github.com/sindresorhus/refined-github/issues/1828
Mention autocomplete inserts \t,,https://github.com/sindresorhus/refined-github/issues/1826
Console Errors,,https://github.com/sindresorhus/refined-github/issues/1811
Remove the `delete-fork-link` feature (Implemented by GitHub natively),,https://github.com/sindresorhus/refined-github/issues/1786
Unnecessary offset for filenames in comments,,https://github.com/sindresorhus/refined-github/issues/1784
Remove the milestone navigation feature,,https://github.com/sindresorhus/refined-github/issues/1767
New “Projects” tab messes up profile if “gists” tab enabled,,https://github.com/sindresorhus/refined-github/issues/1757
Hide/collapse bots in conversations,,https://github.com/sindresorhus/refined-github/issues/1745
Restore `toggle-all-things-with-alt` feature,,https://github.com/sindresorhus/refined-github/issues/1729
Issue/PR popup z-index issue,,https://github.com/sindresorhus/refined-github/issues/1719
V3 API calls no longer work for GHE,,https://github.com/sindresorhus/refined-github/issues/1703
Missing open all pull requests button on users' Pull Requests page,,https://github.com/sindresorhus/refined-github/issues/1699
First changed file header overlaps tags dropdown,,https://github.com/sindresorhus/refined-github/issues/1683
Hide/collapse bots in commits,,https://github.com/sindresorhus/refined-github/issues/1676
Search field widens on project page,,https://github.com/sindresorhus/refined-github/issues/1672
Show warning if PR submitter tries to uncheck `Allow edits from maintainers`,,https://github.com/sindresorhus/refined-github/issues/1665
Warn when creating a PR from master branch,,https://github.com/sindresorhus/refined-github/issues/1664
Missing Approve and Reject buttons in review,,https://github.com/sindresorhus/refined-github/issues/1646
There is an unstar button,,https://github.com/sindresorhus/refined-github/issues/1642
Expand empty binary file diffs inside PR,,https://github.com/sindresorhus/refined-github/issues/1630
Automatic redirects in empty profiles,,https://github.com/sindresorhus/refined-github/issues/1627
"More friendly ""Changes requested"" state in PRs",,https://github.com/sindresorhus/refined-github/issues/1602
