Issue Description,Assignees to the Issue,Link
Expression DateTime.CompareTo drops entire Where,,https://github.com/dotnet/efcore/issues/12115
SQLite Query: Simplify composed DateTime functions,,https://github.com/dotnet/efcore/issues/12059
DbFunction tests are missing from the Relational specification tests,,https://github.com/dotnet/efcore/issues/12044
wrong method-name in warning when not explicitly define precisions for decimals,,https://github.com/dotnet/efcore/issues/12041
Context 'Person' started tracking 'BloggingContext' entity.,,https://github.com/dotnet/efcore/issues/11951
Identity property configuration,,https://github.com/dotnet/efcore/issues/11924
Invalid SQL generated with nested .Sum() and operator,,https://github.com/dotnet/efcore/issues/11922
Add EF tests that use the Identity model,,https://github.com/dotnet/efcore/issues/11838
RevEng: Use nameof in data annotations,,https://github.com/dotnet/efcore/issues/11744
Add HasPrecision() Fluent API,,https://github.com/dotnet/efcore/issues/11614
Improve logging around context model caching,,https://github.com/dotnet/efcore/issues/11608
SQLite Update: Value propagation DML broken with triggers,,https://github.com/dotnet/efcore/issues/11603
IncludeExpressionNode and ThenIncludeExpressionNode throw different exception types,,https://github.com/dotnet/efcore/issues/11598
DateTimeOffset.Now should be translated to SYSDATETIMEOFFSET(),,https://github.com/dotnet/efcore/issues/11594
Allow specifying online option on SQL Server indexes,,https://github.com/dotnet/efcore/issues/11499
Add built-in conversions from strings to other types,,https://github.com/dotnet/efcore/issues/11492
SQL Server full-text search: Support creating full-text indexes in migrations,,https://github.com/dotnet/efcore/issues/11488
SQL Server full-text search: FreeTextTable and ContainsTable table-valued functions,,https://github.com/dotnet/efcore/issues/11487
SQL Server full-text search: Contains predicate,,https://github.com/dotnet/efcore/issues/11486
SQLCE issue with WithConstructorsTestBase,,https://github.com/dotnet/efcore/issues/11471
model builder lambda APIs don't work with public fields on entities,,https://github.com/dotnet/efcore/issues/11410
Query: rewrite predicate with constanList.Any(e =>e == someProperty) to Contains,,https://github.com/dotnet/efcore/issues/11389
Inherited private DbSet property isn't found,,https://github.com/dotnet/efcore/issues/11383
Support cache when creating a sequence,,https://github.com/dotnet/efcore/issues/11261
Feature parity: Add IQueryTypeConfiguration<TEntity>,,https://github.com/dotnet/efcore/issues/11257
Document how to build the EF fort,,https://github.com/dotnet/efcore/issues/11142
Query: convert ExpressionEqualityComparer to a singleton,,https://github.com/dotnet/efcore/issues/10983
Implement change tracking proxies,,https://github.com/dotnet/efcore/issues/10949
RevEng: Option to ignore DEFAULT constraints,,https://github.com/dotnet/efcore/issues/10881
SqlServer: UseRowNumberForPaging shouldn't return void,,https://github.com/dotnet/efcore/issues/10808
Add API to configure construction of entity type instances,,https://github.com/dotnet/efcore/issues/10789
Lazy-loading proxies: allow entity types/navigations to be specified,,https://github.com/dotnet/efcore/issues/10787
"EF Core Drop Database Command runs the ""ConfigureServices"" method twice",,https://github.com/dotnet/efcore/issues/10636
Validate requiredness (nullability) in the in-memory database,,https://github.com/dotnet/efcore/issues/10613
NRE thrown during add-migration if primary key is null.,,https://github.com/dotnet/efcore/issues/10571
Query: Inline deterministic static member access in SQL,,https://github.com/dotnet/efcore/issues/10547
Migrations: Changing delete behavior from restrict -> ClientSetNull causes FK to be modified,,https://github.com/dotnet/efcore/issues/10543
Query: GetHashCode(Expression obj) of ExpressionEqualityComparer does not support ExpressionType.Assign,,https://github.com/dotnet/efcore/issues/10529
Sqlite: Add translators for string methods,,https://github.com/dotnet/efcore/issues/10527
Sqlite: Add translator for Math related functions,,https://github.com/dotnet/efcore/issues/10526
Sqlite: Translate DateTime.Millisecond,,https://github.com/dotnet/efcore/issues/10523
SQL Server: Translate DateTime.TimeOfDay,,https://github.com/dotnet/efcore/issues/10522
Scaffolding issue with Oracle function-based index,,https://github.com/dotnet/efcore/issues/10416
Query: Order By (Select 1) can be omitted for Sql without skip/take,,https://github.com/dotnet/efcore/issues/10410
Add support for using response files from EF commands,,https://github.com/dotnet/efcore/issues/10409
Tools: Command to get EnsureCreated() SQL script,,https://github.com/dotnet/efcore/issues/10378
SqlServerMigrationsSqlGenerator missing dependency object,,https://github.com/dotnet/efcore/issues/10233
Make it easy to add custom file header to generated code,,https://github.com/dotnet/efcore/issues/10226
Query: subquery with orderby but without skip causes client eval - we could inject Skip(0) to allow for full translation,,https://github.com/dotnet/efcore/issues/10102
Having non generic ApplyConfiguration method,,https://github.com/dotnet/efcore/issues/10069
Test: UdfDbFunctionSqlServerTests should use AssertSql pattern,,https://github.com/dotnet/efcore/issues/9957
DbFunctions: Consider protected methods for discovering DbFunctionAttribute,,https://github.com/dotnet/efcore/issues/9956
nullreference when during add-migration when migration implementations lack migration attribute,,https://github.com/dotnet/efcore/issues/9920
"Change ""Relational:TypeMapping"" annotation name",,https://github.com/dotnet/efcore/issues/9913
Implement useful mappings in EF.Functions,,https://github.com/dotnet/efcore/issues/9585
Improve Tools packages descriptions,,https://github.com/dotnet/efcore/issues/9439
Design: Make OperationBase.Execute() protected,,https://github.com/dotnet/efcore/issues/9388
Consider adding sugar method(s) to obtain the discriminator property's configuration,,https://github.com/dotnet/efcore/issues/9384
Test: Remove dependency on SqlServer from EFCore.Design.Tests,,https://github.com/dotnet/efcore/issues/9352
Consider having sugar methods to make it easier to apply migrations programatically,,https://github.com/dotnet/efcore/issues/9339
Improve logging of datetime parameter values,,https://github.com/dotnet/efcore/issues/9319
Query: Translate Exists,,https://github.com/dotnet/efcore/issues/9295
Unit test suite questions,,https://github.com/dotnet/efcore/issues/9228
DbFunctions: Schema not specified when calling DbFunction in projection,,https://github.com/dotnet/efcore/issues/9214
DbFunctions: Consider allowing instance methods,,https://github.com/dotnet/efcore/issues/9213
"Query: string concatenation where at least one operand in null translates to null, which is different than Linq to objects",,https://github.com/dotnet/efcore/issues/9201
Add DbContext Validate to CLI/PS commands,,https://github.com/dotnet/efcore/issues/9052
Disable _EFMigrationsHistory (HistoryRepository) when generating scripts in migrations,,https://github.com/dotnet/efcore/issues/8970
SQLite RevEng: Allow tables without a primary key,,https://github.com/dotnet/efcore/issues/8840
CLI Tools: Error when MSBuildProjectExtensionsPath doesn't exist,,https://github.com/dotnet/efcore/issues/8816
Support DbSet fields as well as properties,,https://github.com/dotnet/efcore/issues/8698
Preserve result order when doing DISTINCT,,https://github.com/dotnet/efcore/issues/8606
Query: Add Support for DateTimeOffset.Add* functions,,https://github.com/dotnet/efcore/issues/8590
"Migrations: Add IsSqlServer, etc. to MigrationBuilder",,https://github.com/dotnet/efcore/issues/8566
"Add parameterless overloads of UseSqlServer, UseSqlite, etc.",,https://github.com/dotnet/efcore/issues/8427
